Time,GeneralizedAngle
4.38,68.94001128442072
4.39,68.8739914824174
4.4,68.80706947928468
4.41,68.73842668070178
4.42,68.66731149557428
4.43,68.59189262079467
4.44,68.51142669729346
4.45,68.42544347589369
4.46,68.31257638317162
4.47,68.20230016683648
4.48,68.09315952635927
4.49,67.9830183719201
4.5,67.86989254147426
4.51,67.75277301314878
4.5200000000000005,67.63078265389748
4.53,67.5037130125462
4.54,67.3710350400282
4.55,67.2598811952111
4.5600000000000005,67.15007032483196
4.57,67.04204824176618
4.58,66.93397248064018
4.59,66.82631165969472
4.6000000000000005,66.71937579044494
4.61,66.61266336045442
4.62,66.50474903303642
4.63,66.39451180585318
4.64,66.28172679371299
4.65,66.16637999409782
4.66,66.04903422005493
4.67,65.9284422873745
4.68,65.80544017275263
4.69,65.67603977456116
4.7,65.5395379813664
4.71,65.41167980716757
4.72,65.27460176297222
4.73,65.11116224213993
4.74,64.9384257863758
4.75,64.7856978400511
4.76,64.63133502510742
4.7700000000000005,64.4754999550476
4.78,64.31793192205673
4.79,64.16488481368488
4.8,64.0086348304298
4.8100000000000005,63.850684511444854
4.82,63.72221211935993
4.83,63.59181212601954
4.84,63.43154142957031
4.8500000000000005,63.269163526565166
4.86,63.10456415666591
4.87,62.9365079068563
4.88,62.76691670529328
4.89,62.59628601491099
4.9,62.42454451282697
4.91,62.25307524122699
4.92,62.082616469756715
4.93,61.96892142315869
4.94,61.858186091464056
4.95,61.75059436800367
4.96,61.590088856728975
4.97,61.45482784243274
4.98,61.31671019362807
4.99,61.15281770454947
5.0,60.98873677772522
5.01,60.82382972922404
5.0200000000000005,60.658723156377754
5.03,60.49476436557391
5.04,60.333917884806624
5.05,60.176815578234766
5.0600000000000005,60.024355056306
5.07,59.87699428148391
5.08,59.73485628946182
5.09,59.59936740685608
5.1000000000000005,59.46073230595956
5.11,59.36453421908004
5.12,59.27003560656896
5.13,59.137449841515426
5.14,59.00880737550879
5.15,58.88406358467327
5.16,58.76336738012275
5.17,58.64711619595297
5.18,58.53417963542512
5.19,58.424426628056096
5.2,58.31748910929653
5.21,58.21430865770848
5.22,58.11487727178701
5.23,58.01843336512803
5.24,57.93858952736165
5.25,57.85699561360726
5.26,57.76165034505573
5.2700000000000005,57.64600326612617
5.28,57.5357806531678
5.29,57.44663332568516
5.3,57.364363485415424
5.3100000000000005,57.273856711518654
5.32,57.1876658136041
5.33,57.104888105242686
5.34,57.026792961810166
5.3500000000000005,56.95146781849008
5.36,56.875949980065606
5.37,56.79988989272048
5.38,56.72453268253403
5.39,56.64622123210291
